Tanggal,PM10,PM2.5,SO2,CO,O3,NO2,HC
2023-01-01,23.04,21.46,23.15,4547.56,23.25,38.96,55.08
2023-01-02,26.85,24.96,22.27,4599.25,23.54,33.19,57.1
2023-01-03,33.1,30.5,24.52,4595.0,22.9,31.23,57.25
2023-01-04,25.56,23.83,23.4,4622.23,23.21,32.44,55.1
2023-01-05,41.23,39.48,22.71,5021.0,22.19,35.08,67.33
2023-01-06,38.04,36.11,19.48,4824.63,23.04,35.74,69.85
2023-01-07,,,,,,,
2023-01-08,,,,,,,
2023-01-09,32.0,29.0,,1452.0,137.0,,
2023-01-10,38.5,36.52,,1380.04,138.4,,89.78
2023-01-11,33.88,31.92,,1289.94,127.46,122.05,
2023-01-12,38.69,35.94,,1341.75,109.25,146.67,83.0
2023-01-13,27.19,25.1,,1173.06,109.94,134.04,98.33
2023-01-14,43.98,41.81,,1269.65,109.31,135.13,91.0
2023-01-15,14.83,13.4,,1199.6,110.33,117.96,98.43
2023-01-16,19.92,18.58,,1234.77,110.02,119.98,88.5
2023-01-17,21.0,19.35,,1215.38,114.83,106.08,97.75
2023-01-18,31.75,29.65,,1329.77,115.75,,94.04
2023-01-19,29.29,27.0,,1362.27,128.12,,70.6
2023-01-20,37.47,35.26,,1498.81,135.66,,70.47
2023-01-21,23.17,21.69,,1295.42,134.15,,72.0
2023-01-22,12.6,11.85,,1248.63,136.5,,74.83
2023-01-23,14.27,13.44,,1335.08,136.29,,78.83
2023-01-24,12.1,11.06,,1281.04,136.98,,75.25
2023-01-25,17.13,15.31,,1290.73,137.35,,78.5
2023-01-26,28.13,25.25,,1334.77,136.98,,77.65
2023-01-27,29.81,26.81,,1364.19,136.94,,80.0
2023-01-28,25.14,22.43,,1512.14,138.0,,77.0
2023-01-29,,,,,,,
2023-01-30,,,,,,,
2023-01-31,,,,,,,
2023-02-01,13.0,11.63,48.94,1330.08,47.88,47.06,55.08
2023-02-02,23.04,21.4,49.08,1378.6,39.69,45.54,57.1
2023-02-03,17.36,15.79,48.86,1279.07,51.05,21.05,57.25
2023-02-04,15.92,14.42,48.27,1242.0,51.52,18.67,55.1
2023-02-05,14.89,12.96,48.23,1185.48,60.04,11.46,67.33
2023-02-06,13.9,12.58,47.65,1103.44,65.15,6.85,69.85
2023-02-07,35.4,32.48,48.35,1251.71,65.06,7.04,
2023-02-08,47.16,43.45,47.94,1232.68,65.55,6.42,
2023-02-09,,,,,,,
2023-02-10,,,,,,,89.78
2023-02-11,,,,,,,
2023-02-12,,,,,,,83.0
2023-02-13,,,,,,,98.33
2023-02-14,,,,,,,91.0
2023-02-15,18.21,16.88,45.21,1291.88,48.21,20.13,98.43
2023-02-16,21.52,18.85,43.73,1297.96,47.71,17.69,88.5
2023-02-17,34.63,31.17,45.54,1227.77,47.96,16.92,97.75
2023-02-18,37.75,34.02,41.21,1159.63,65.81,29.48,94.04
2023-02-19,20.15,18.15,50.92,998.1,59.29,55.63,70.6
2023-02-20,19.04,16.58,46.96,1056.4,65.1,53.46,70.47
2023-02-21,20.0,17.31,41.31,1118.29,76.52,54.65,72.0
2023-02-22,17.29,15.33,41.98,1163.08,76.75,54.56,74.83
