Tanggal,PM10,PM2.5,SO2,CO,O3,NO2,HC,pm2.5_lag1,pm10_lag1,pm2.5_trend3,pm10_trend3,suhu_avg,curah_hujan,angin_max
2023-01-03,33.1,30.5,24.52,4595.0,22.9,31.23,57.25,24.96,26.85,25.64,27.663333333333338,24.872917,3.4999998,13.797912
2023-01-04,25.56,23.83,23.4,4622.23,23.21,32.44,55.1,30.5,33.1,26.429999999999996,28.503333333333334,25.385416,2.6,7.2
2023-01-05,41.23,39.48,22.71,5021.0,22.19,35.08,67.33,23.83,25.56,31.27,33.29666666666666,25.904167,0.7,7.9036193
2023-01-06,38.04,36.11,19.48,4824.63,23.04,35.74,69.85,39.48,41.23,33.13999999999999,34.943333333333335,26.202085,3.1,10.233123
2023-01-07,36.026666666666664,33.74,20.613076923076925,3700.42,61.02666666666667,53.002,74.8325,36.11,38.04,36.443333333333335,38.432222222222215,25.34375,20.7,12.287555
2023-01-08,34.013333333333335,31.37,21.746153846153845,2576.21,99.01333333333335,70.26400000000001,79.815,33.74,36.026666666666664,33.74,36.026666666666664,25.383333,5.9999995,11.440978
2023-01-09,32.0,29.0,22.87923076923077,1452.0,137.0,87.52600000000001,84.7975,31.37,34.013333333333335,31.370000000000005,34.01333333333333,26.177086,1.0,9.686609
2023-01-10,38.5,36.52,24.012307692307694,1380.04,138.4,104.78800000000001,89.78,29.0,32.0,32.29666666666667,34.837777777777774,26.010416,2.0,6.4799995
2023-01-11,33.88,31.92,25.145384615384614,1289.94,127.46,122.05,86.39,36.52,38.5,32.48,34.79333333333333,25.139585,13.500001,8.905908
2023-01-12,38.69,35.94,26.27846153846154,1341.75,109.25,146.67,83.0,31.92,33.88,34.79333333333333,37.02333333333333,26.481253,0.70000005,8.707238
2023-01-13,27.19,25.1,27.411538461538463,1173.06,109.94,134.04,98.33,35.94,38.69,30.986666666666668,33.25333333333333,25.316668,9.8,7.8954163
2023-01-14,43.98,41.81,28.544615384615383,1269.65,109.31,135.13,91.0,25.1,27.19,34.28333333333333,36.62,25.65625,4.3,7.7879906
2023-01-15,14.83,13.4,29.677692307692308,1199.6,110.33,117.96,98.43,41.81,43.98,26.77,28.66666666666666,25.935415,7.9999995,9.726665
2023-01-16,19.92,18.58,30.810769230769232,1234.77,110.02,119.98,88.5,13.4,14.83,24.596666666666664,26.24333333333333,25.508331,3.3,15.119999
2023-01-17,21.0,19.35,31.943846153846152,1215.38,114.83,106.08,97.75,18.58,19.92,17.11,18.583333333333332,24.258337,28.0,15.0038395
2023-01-18,31.75,29.65,33.07692307692308,1329.77,115.75,102.14533333333333,94.04,19.35,21.0,22.526666666666667,24.223333333333333,25.637499,0.7,12.218805
2023-01-19,29.29,27.0,34.21,1362.27,128.12,98.21066666666667,70.6,29.65,31.75,25.333333333333332,27.346666666666664,25.816666,8.8,14.021525
2023-01-20,37.47,35.26,35.34307692307692,1498.81,135.66,94.276,70.47,27.0,29.29,30.636666666666667,32.836666666666666,24.689585,14.500001,13.044722
2023-01-21,23.17,21.69,36.47615384615385,1295.42,134.15,90.34133333333334,72.0,35.26,37.47,27.983333333333334,29.97666666666667,24.868752,14.6,9.9571085
2023-01-22,12.6,11.85,37.60923076923077,1248.63,136.5,86.40666666666667,74.83,21.69,23.17,22.933333333333334,24.41333333333333,24.641668,5.8999996,10.931203
2023-01-23,14.27,13.44,38.74230769230769,1335.08,136.29,82.47200000000001,78.83,11.85,12.6,15.660000000000002,16.68,24.077087,17.5,10.587918
2023-01-24,12.1,11.06,39.87538461538462,1281.04,136.98,78.53733333333334,75.25,13.44,14.27,12.116666666666667,12.99,24.110418,2.8999996,10.24578
2023-01-25,17.13,15.31,41.00846153846154,1290.73,137.35,74.60266666666666,78.5,11.06,12.1,13.270000000000001,14.5,24.304161,1.8000002,13.684735
2023-01-26,28.13,25.25,42.14153846153846,1334.77,136.98,70.668,77.65,15.31,17.13,17.206666666666667,19.12,25.19792,2.8999999,12.594856
2023-01-27,29.81,26.81,43.27461538461539,1364.19,136.94,66.73333333333333,80.0,25.25,28.13,22.456666666666667,25.02333333333333,25.379166,0.3,8.534353
2023-01-28,25.14,22.43,44.40769230769231,1512.14,138.0,62.79866666666667,77.0,26.81,29.81,24.83,27.69333333333333,24.960419,2.1,14.693999
2023-01-29,22.105,19.73,45.54076923076923,1466.625,115.47,58.864000000000004,71.52,22.43,25.14,22.99,25.685000000000002,24.983335,0.70000005,15.30741
2023-01-30,19.07,17.03,46.673846153846156,1421.11,92.94,54.92933333333334,66.04,19.73,22.105,19.73,22.105,24.639587,2.8,13.276144
2023-01-31,16.035,14.33,47.80692307692308,1375.595,70.41,50.99466666666667,60.56,17.03,19.07,17.03,19.069999999999997,25.416666,2.2,12.287555
2023-02-01,13.0,11.63,48.94,1330.08,47.88,47.06,55.08,14.33,16.035,14.33,16.035,25.772919,5.9,10.028439
2023-02-02,23.04,21.4,49.08,1378.6,39.69,45.54,57.1,11.63,13.0,15.786666666666667,17.358333333333334,25.756247,14.2,18.057508
2023-02-03,17.36,15.79,48.86,1279.07,51.05,21.05,57.25,21.4,23.04,16.273333333333333,17.8,26.454165,0.1,11.457958
2023-02-04,15.92,14.42,48.27,1242.0,51.52,18.67,55.1,15.79,17.36,17.203333333333333,18.773333333333333,26.027082,5.5999994,14.291592
2023-02-05,14.89,12.96,48.23,1185.48,60.04,11.46,67.33,14.42,15.92,14.39,16.05666666666667,24.783333,8.3,9.565437
2023-02-06,13.9,12.58,47.65,1103.44,65.15,6.85,69.85,12.96,14.89,13.32,14.903333333333334,25.687502,0.5,10.041354
2023-02-07,35.4,32.48,48.35,1251.71,65.06,7.04,74.8325,12.58,13.9,19.34,21.396666666666665,26.277086,0.0,9.779817
2023-02-08,47.16,43.45,47.94,1232.68,65.55,6.42,79.815,32.48,35.4,29.50333333333333,32.15333333333333,25.977087,9.0,9.673221
2023-02-09,43.02428571428571,39.65428571428572,47.55,1241.1371428571429,63.07285714285714,8.378571428571428,84.7975,43.45,47.16,38.52809523809524,41.86142857142857,25.799997,9.2,6.162207
2023-02-10,38.888571428571424,35.85857142857143,47.16,1249.594285714286,60.59571428571429,10.337142857142856,89.78,39.65428571428572,43.02428571428571,39.65428571428572,43.0242857142857,25.860418,18.800003,9.885262
2023-02-11,34.75285714285714,32.06285714285714,46.769999999999996,1258.0514285714287,58.11857142857143,12.295714285714286,86.39,35.85857142857143,38.888571428571424,35.85857142857143,38.888571428571424,25.860415,14.299999,14.05845
2023-02-12,30.617142857142856,28.267142857142858,46.38,1266.5085714285715,55.64142857142857,14.254285714285714,83.0,32.06285714285714,34.75285714285714,32.06285714285715,34.75285714285714,25.677084,5.6000004,8.913181
2023-02-13,26.481428571428573,24.47142857142857,45.99,1274.9657142857143,53.16428571428571,16.212857142857143,98.33,28.267142857142858,30.617142857142856,28.267142857142858,30.617142857142856,25.508331,21.6,11.792404
2023-02-14,22.345714285714287,20.675714285714285,45.6,1283.4228571428573,50.68714285714286,18.17142857142857,91.0,24.47142857142857,26.481428571428573,24.47142857142857,26.48142857142857,25.981253,8.5,11.841756
2023-02-15,18.21,16.88,45.21,1291.88,48.21,20.13,98.43,20.675714285714285,22.345714285714287,20.675714285714285,22.34571428571429,25.125,10.5,9.885262
